episode,reward,length,success,critic_loss,policy_loss,entropy,total_loss
257,260.155548,155,1.000000,4.383770,-0.007151,0.158697,2.184576
258,225.555542,155,1.000000,9.865326,-0.011373,0.303927,4.920986
259,244.911102,157,1.000000,10.121052,-0.007203,0.183854,5.053140
260,241.805527,182,1.000000,6.569734,-0.007177,0.168567,3.277521
261,271.322235,161,1.000000,9.867285,-0.005537,0.175128,4.927930
262,252.011108,175,1.000000,8.600617,-0.006527,0.155831,4.293626
263,270.161102,166,1.000000,5.496757,-0.008405,0.165013,2.739808
264,243.250000,162,1.000000,7.736692,-0.011242,0.211365,3.856892
265,240.194443,160,1.000000,7.803264,-0.008822,0.214677,3.892595
266,261.161102,166,1.000000,10.946805,-0.008947,0.251812,5.464204
267,256.944458,169,1.000000,6.671580,-0.008333,0.231859,3.327226
268,228.699982,171,1.000000,14.735572,-0.009039,0.289911,7.358457
269,263.600006,171,1.000000,2.929766,-0.009291,0.177054,1.455414
270,241.466660,159,1.000000,5.836737,-0.006759,0.164583,2.911445
271,254.622238,161,1.000000,4.179947,-0.007242,0.201620,2.082530
272,258.783325,174,1.000000,7.041116,-0.005534,0.164311,3.514860
273,249.944427,169,1.000000,3.442785,-0.009382,0.264073,1.711746
274,265.333313,165,1.000000,4.367533,-0.007239,0.189995,2.176338
275,261.444458,187,1.000000,4.741525,-0.006123,0.157344,2.364483
276,250.483322,174,1.000000,9.170670,-0.007385,0.162414,4.577787
277,240.799988,171,1.000000,7.701777,-0.007539,0.194546,3.843155
278,270.416656,150,1.000000,6.406521,-0.009866,0.194906,3.193199
279,246.155563,173,1.000000,13.193283,-0.005050,0.168377,6.591423
280,253.466660,159,1.000000,12.518012,-0.006885,0.195100,6.251926
281,252.666656,159,1.000000,3.857458,-0.009074,0.200260,1.919455
282,277.044434,151,1.000000,6.064446,-0.006504,0.150811,3.025569
283,202.233337,165,1.000000,22.355685,-0.005386,0.228822,11.172227
284,238.983337,156,1.000000,4.982576,-0.009714,0.224139,2.481350
285,233.577789,163,1.000000,10.330350,-0.005480,0.262177,5.159433
286,257.244446,151,1.000000,4.350131,-0.007636,0.208329,2.167221
287,247.622223,161,1.000000,9.719639,-0.008328,0.217384,4.851274
288,268.294434,160,1.000000,5.032663,-0.005293,0.157692,2.510880
289,227.994446,178,1.000000,10.857447,-0.010099,0.206940,5.418417
290,261.938904,158,1.000000,6.180931,-0.007356,0.135794,3.082974
291,249.822220,161,1.000000,7.931346,-0.005993,0.178241,3.959502
292,269.344452,169,1.000000,3.976625,-0.010637,0.264744,1.977410
293,244.494446,160,1.000000,4.414798,-0.006991,0.192523,2.200216
294,233.266663,159,1.000000,16.146689,-0.009285,0.240674,8.063819
295,250.183350,156,1.000000,14.896512,-0.006226,0.189149,7.441840
296,260.655548,173,1.000000,6.562775,-0.008325,0.172589,3.272890
297,215.588867,167,1.000000,12.797990,-0.006566,0.167682,6.392262
298,264.311096,157,1.000000,7.686085,-0.006406,0.132646,3.836504
299,258.061096,166,1.000000,6.713396,-0.005365,0.133960,3.351200
300,243.399994,171,1.000000,4.554729,-0.003888,0.177042,2.273299
